ER-1	ER-2	ER-3	ER-4	ER-5	ER-6	ER-7	ER-8	ER-9	TNBC-1	TNBC-2	TNBC-3	TNBC-4	TNBC-5	TNBC-6	TNBC-7	TNBC-8	TNBC-9	TNBC-10	TNBC-11	TNBC-12	TNBC-13	TNBC-14	TNBC-15	WHIM30-1	WHIM30-2	WHIM30-3	WHIM30-4	WHIM2-1	WHIM2-2	WHIM2-3	
C01180	18.99950169	9.965784285	17.77732317	17.76665369	9.965784285	16.04857691	18.05416361	18.41251503	22.04909778	16.40970311	19.95414841	17.54841518	19.62448917	17.19614981	17.30531889	19.7951171	18.92272677	17.67469709	19.60717305	15.48251984	19.82581988	19.54575337	18.29799798	9.965784285	19.78602045	18.12524289	19.31092164	17.72778582	19.11807489	19.02890961	19.9377486
C00026	23.48142861	24.6003195	24.36828866	24.91229571	24.9165075	20.95518418	22.90612251	23.54686946	24.00068876	22.56563717	23.75590691	22.87309277	24.71568098	21.66718203	21.40238651	23.90036935	22.94861989	24.2015864	24.4126866	22.37348411	22.58313176	24.11270593	22.8636929	21.59229111	23.4059152	24.67399832	24.95538731	24.87496526	25.19054889	23.95377069	23.56643295
C00632	19.20403898	22.4008373	21.88255211	22.43661841	21.20009825	22.16091866	22.11488033	20.54969313	22.14945283	22.06797344	20.76761652	21.22469624	21.48490749	21.95263229	22.4975974	22.13607576	21.57131193	20.30599331	20.17337247	22.40285264	21.49319471	21.1781762	22.38628677	23.67631397	21.21254911	22.21302581	22.20620303	22.30666029	20.86157448	21.50821148	21.8508749
C01259	24.78100168	26.96034403	27.09471941	25.05942795	25.70513896	25.5781906	25.11136646	23.59134531	24.4936296	25.99699972	23.17451723	25.57248939	22.70468468	21.91194305	27.53187215	25.14567996	24.57749726	22.81769512	23.6005088	25.19949527	24.75971474	24.33764138	25.59124143	25.48202063	22.06425098	23.42299201	22.71213716	22.74189485	22.96242828	23.65061798	24.19539499
C05394	23.6155615	24.66192705	21.59333896	24.69009562	21.085612	20.9598452	23.3892146	20.5564716	22.51667641	22.77663756	20.64775571	22.46448351	22.03451047	20.67272462	20.15301272	21.04321213	20.30714457	20.76913376	21.06197582	21.54449751	20.94778917	22.90678202	20.14319302	22.52647129	21.36233384	22.51833887	22.71247864	22.45398892	21.06446465	20.65617971	20.46077979
C00141	23.53945237	23.8344631	22.48344461	23.81422765	22.40725838	21.07006277	21.80010449	21.74954617	21.95816413	21.48667933	20.75226275	20.86316645	23.806218	20.29595517	20.21999698	22.14951196	21.58731383	21.97991186	22.92436384	20.97427547	20.83571723	23.11555127	21.50885099	20.06847467	24.23832128	23.34893862	23.376486	22.83338895	24.68430695	24.60782146	24.86831714
C03465	26.47835412	27.21291148	26.43403879	27.48099103	26.08606208	24.91254902	25.42999316	26.35390921	24.88828779	26.24031059	25.25309106	25.39750377	27.11056565	24.96014933	23.18993968	25.79114429	26.19078912	25.86757567	27.26907738	24.88849346	25.17747295	27.05184684	25.54242576	22.70882866	28.78303056	27.80074398	27.63100954	27.61758824	28.69420312	28.47890256	28.45948564
C05100	29.20213986	30.92401338	30.99356385	30.17168814	30.30463674	30.47862283	29.97018042	29.54310968	30.54796385	30.42484886	29.46863157	30.07725307	29.41100835	29.12562578	29.91574739	30.35446532	29.44473472	29.5758305	29.49336687	30.15332256	29.63258157	30.27482746	30.16336086	30.46593613	28.38066451	28.28832808	28.52710635	28.15198492	28.03100168	28.69524938	28.4710999
C00156	22.61926159	27.57819819	24.5471525	22.72598905	21.59207414	22.41271654	21.1500027	22.70375888	22.05973536	23.5583444	21.37489607	22.03705742	26.2043173	26.01820184	22.28377268	24.25184442	22.30240527	22.42622595	22.49567525	21.79201148	22.14854905	22.7369565	26.92837985	23.68917763	22.95521816	22.69520603	22.90712645	22.97431463	21.66588988	21.86497177	23.22218223
C00642	23.40023043	23.44530896	22.98807341	23.6493169	22.52577439	22.49157025	22.85226461	22.69961425	23.10105528	26.98709854	22.31343155	22.25461794	31.97425484	27.57408914	23.69155179	27.44471318	22.53593755	22.53630818	22.69250508	21.51154615	22.6008739	22.62801228	30.63367082	25.67885043	21.83741734	21.9495976	22.29181477	22.60867605	21.84070322	22.38286484	22.79946592
