logFC	AveExpr	t	p_value	adj.P.Val	B	logP	name
-0.983485779622811	20.9390082821835	-4.53157677782004	7.73875413982573e-05	0.00032592060704266	1.21585512489202	3.48688817944899	C00601
-1.21999861117818	26.8228240551134	-4.50406952153713	8.37544467612984e-05	0.000342043460688499	1.13908335660682	3.4659187081602	C00122
-0.985700762432398	27.6573053439213	-4.50084677362223	8.45334893482935e-05	0.000342043460688499	1.13009512839582	3.4659187081602	C00082
-0.995468014786052	23.8979909078552	-4.49250304487399	8.65838796091347e-05	0.000342043460688499	1.10683079228176	3.4659187081602	C05851
-0.990189518227272	24.8301468436389	-4.48898460612937	8.74631680299358e-05	0.000342043460688499	1.09702326668988	3.4659187081602	C00180
-1.22259558021291	22.573260996273	-4.47796711911261	9.02740211689834e-05	0.000346842291859778	1.06632299075448	3.459867952714	C03264
-5.85094432512414	18.7681500834332	-4.4616649508912	9.45976661003664e-05	0.000357187739241039	1.02092672966482	3.44710345703811	C00097
-5.29258787574098	19.9587034266881	-4.45562494542725	9.62510085967574e-05	0.000357270692926947	1.00411641938786	3.44700260770501	C00519
-1.7666236471572	31.7829071936155	-4.33514758912099	0.000135879345819199	0.000495959612240076	0.669900698666487	3.30455368821833	C00588
-1.67507680938308	20.5164613679972	-4.30424043092644	0.000148407448691209	0.000532807069891389	0.584516778499237	3.27343002108541	C01210
-2.92005078776094	20.3389847822652	-4.28966568907488	0.000154703601025417	0.000546453042331716	0.544306127643067	3.26244715179738	C13482
-4.71881154352122	21.6344920926879	-4.28131383537948	0.0001584293352552	0.000550449044239269	0.521279701006078	3.25928287801824	C01419
-2.01522599723655	28.076292353547	-4.27596473600075	0.000160861821147549	0.000550449044239269	0.506538079107491	3.25928287801824	C00043
-2.51934067938398	21.281963151021	-4.20563001455048	0.000196478950027578	0.00066198292393907	0.313156598366328	3.17915321318067	C05512
-2.1601773014664	28.6773003461439	-4.13642663945083	0.000239055082912843	0.000793228229665342	0.123751132017897	3.10060183837782	C00020
-1.74194765442711	21.2652716185961	-4.12270738334604	0.000248513259762141	0.000812304535640431	0.0863094962237696	3.09028112180183	C00178
-1.47281124639029	24.0256064380541	-4.11087403529442	0.000256965573632155	0.000827580303315324	0.0540440911468361	3.08218985423547	C00055
-2.31698363756894	21.7270474435005	-4.04375395996016	0.000310519384377982	0.000985561524330118	-0.128439602117721	3.00631625941796	C00004
-1.28654880384859	31.6601964532059	-4.02474583810553	0.000327578339052592	0.00102485223217882	-0.179949732181328	2.98933874863322	C00300
-1.91416225236199	21.2460611107573	-3.98459913641792	0.000366679366043063	0.0011268536054465	-0.288489520001814	2.94813250141304	C00190
-2.01120066969277	28.1900718227671	-3.98093030590576	0.000370472418228988	0.0011268536054465	-0.298390994115628	2.94813250141304	C03017
-1.95397341590142	26.2758358688051	-3.82585704096665	0.000571099738448952	0.00169160486449919	-0.714066143167746	2.77170107463526	C02630
-1.9099225758493	22.0917791691168	-3.82554637998893	0.000571592511291963	0.00169160486449919	-0.714893054898041	2.77170107463526	C00096
-2.0976277151007	23.0840860549689	-3.8150683805571	0.000588457618817229	0.00171829624694631	-0.742768954176402	2.76490195847765	C00035
-1.65316896121217	21.5820945038224	-3.80024621039744	0.000613145474222766	0.00176682709019455	-0.782154587770884	2.75280595046424	C05581
