type	name	kegg_pathwayid	kegg_pathwayname	kegg_category
gene	CTH	hsa00260	Glycine, serine and threonine metabolism	Amino acid metabolism
gene	SDS	hsa00260	Glycine, serine and threonine metabolism	Amino acid metabolism
gene	SDSL	hsa00260	Glycine, serine and threonine metabolism	Amino acid metabolism
gene	SRR	hsa00260	Glycine, serine and threonine metabolism	Amino acid metabolism
gene	CTH	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	KYAT3	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	KYAT1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	CBS	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	LOC102724560	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	BHMT	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	BHMT2	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MTR	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MAT2B	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MAT1A	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MAT2A	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	AMD1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	SRM	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	SMS	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MTAP	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	LACC1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MRI1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	APIP	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	ENOPH1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	ADI1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	TAT	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	IL4I1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	DNMT1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	DNMT3A	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	DNMT3B	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
